,Type,Requirement,Tag
0,PE,The system shall refresh the display every 60 seconds.,0
1,LF,The application shall match the color of the schema set forth by Department of Homeland Security,0
2,US, If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,0
3,A, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,0
4,US, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,0
5,SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,0
6,US,The product shall be intuitive and self-explanatory.  ,0
7,PE,The product shall respond fast to keep up-to-date data in the display.,0
8,F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,1
9,F,The system shall display Events in a vertical table by time.,1
10,F,The system shall display the Events in a graph by time.,1
11,L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,0
12,L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,0
13,L,All actions that modify an existing dispute case must be recorded in the case history.,0
14,F,The Disputes System must be accessible by both internal and external users.,1
15,F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,1
16,F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,1
17,F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,1
18,F,The Disputes System shall provide view access capability for authorized users of the application.,1
19,F,The Disputes System shall provide update access capability for authorized users of the application.,1
20,F,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,1
21,F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,1
22,F,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,1
23,F,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,1
24,F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,1
25,F, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,1
26,F,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,1
27,F, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,1
28,F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,1
29,F, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,1
30,F,The Disputes System must provide the ability to view existing dispute cases.,1
31,F, The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,1
32,F,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,1
33,F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,1
34,F,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,1
35,F, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,1
36,F, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,1
37,F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,1
38,F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,1
39,O,The product must support Internet Explorer 5.5 and above.,0
40,O,The product must support Mozilla Firefox 1.0 and above.,0
41,O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,0
42,O,The product shall run on the existing hardware for all environments.,0
43,O,The product shall adhere to the corporate Architecture guidelines,0
44,LF,The product shall comply with corporate User Interface Guidelines,0
45,LF,The product shall comply with corporate color scheme,0
46,LF,The appearance of the product shall appear professional,0
47,PO,The software product is expected to run on Windows or Linux platforms.,0
48,US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,0
49,US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,0
50,US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,0
51,US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,0
52,US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,0
53,PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,0
54,PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,0
55,PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,0
56,PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,0
57,A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,0
58,A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0
59,SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,0
60,SC, The average number of recycled parts records per day shall be 50 000.,0
61,SC, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,0
62,O, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,0
63,O,The product shall interface with the ChoiceParts system once per day at approximately 1,0
64,O,The maintenance of the product will fall within the established corporate maintenance windows.,0
65,O,The product shall be supported using the corporate support center.,0
66,O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,0
67,SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,0
68,SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,0
69,SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,0
70,SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,0
71,SE,One insurance company shall not be able to view another insurance companys claim data.,0
72,SE,The product shall free of computer viruses.,0
73,SE,The system shall prevent malicious attacks including denial of service.,0
74,L,The product must comply with Sarbanes-Oxley.,0
75,L,The product shall comply with the estimatics laws relating to recycled parts usage.,0
76,L,The product shall comply with insurance regulations regarding claims processing.,0
77,F, The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,1
78,F, The vehicle data shall include vehicle year  make  and model,1
79,F, The vehicle location shall include street address  city  state  and zipcode,1
80,F, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,1
81,F,The search radius shall be between 1 and 30 miles,1
82,F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,1
83,F,The adjuster shall enter the preferred repair facility on the estimate assignment.,1
84,F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,1
85,F,The preferred repair facility shall be returned to the user.,1
